City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,greymouth,-42.4667,171.2,10.65,87,100,5.8,NZ,1706907730
148,klyuchi,52.2667,79.1667,-10.39,93,100,5.28,RU,1706907731
149,queenstown,-31.8976,26.8753,20.71,79,99,0.47,ZA,1706907731
150,haiku-pauwela,20.9219,-156.3051,20.09,93,100,6.17,US,1706907732
151,satara,17.6833,73.9833,18.09,42,73,2.19,IN,1706907183
152,la ronge,55.1001,-105.2842,3.36,87,69,2.31,CA,1706907733
153,newport,51.5877,-2.9984,11.71,95,100,6.29,GB,1706907734
154,omutinskiy,56.4745,67.6709,-21.63,100,100,3.02,RU,1706907735
155,porto tolle,44.9497,12.3245,8.67,69,7,1.69,IT,1706907491
156,atherton,53.5237,-2.4935,12.38,84,100,1.79,GB,1706907736
157,darlowo,54.421,16.4107,5.05,94,100,12.37,PL,1706907737
158,tomislavgrad,43.7181,17.2267,-0.69,84,39,2.56,BA,1706907737
159,shahrud,36.4182,54.9763,-2.96,81,100,0.93,IR,1706907725
160,wynyard,-41.0,145.7167,11.96,76,1,3.09,AU,1706907739
161,kyzyl-mazhalyk,51.1333,90.6,-23.94,98,100,0.89,RU,1706907739
162,naliya,23.2667,68.8333,21.28,70,0,2.35,IN,1706907740
163,kourou,5.1552,-52.6478,29.03,70,100,3.03,GF,1706907620
164,rio gallegos,-51.6226,-69.2181,10.89,81,100,10.18,AR,1706907741
165,mitu,1.1983,-70.1733,27.8,79,100,0.66,CO,1706907742
166,fang,19.9169,99.2145,13.43,39,0,0.68,TH,1706907743
167,el bayadh,33.6832,1.0193,7.85,39,0,2.52,DZ,1706907743
168,breves,-1.6822,-50.4803,23.29,98,100,0.86,BR,1706907745
169,touba,8.2833,-7.6833,27.85,20,1,0.85,CI,1706907745
170,esil,51.9556,66.4042,-4.04,96,100,5.84,KZ,1706907747
171,suva,-18.1416,178.4415,27.32,79,99,0.69,FJ,1706907717
172,beberibe,-4.1797,-38.1306,27.58,81,85,5.96,BR,1706907749
173,new norfolk,-42.7826,147.0587,13.17,67,7,1.85,AU,1706907749
174,hamilton,39.1834,-84.5333,9.68,63,75,3.6,US,1706907750
175,vernon,50.2581,-119.2691,10.34,72,88,1.45,CA,1706907751
176,santo antonio,-6.3106,-35.4789,27.89,66,97,6.34,BR,1706907751
177,brookings,44.3114,-96.7984,5.1,88,100,6.69,US,1706907752
178,sabang,5.8933,95.3214,27.63,75,16,3.31,ID,1706907753
179,bilibino,68.0546,166.4372,-29.37,91,37,2.48,RU,1706907753
180,san pedro de uraba,8.2752,-76.3764,27.07,84,98,3.95,CO,1706907754
181,lompoc,34.6391,-120.4579,16.4,68,75,5.66,US,1706907755
182,al jawf,29.5,38.75,8.26,60,8,2.95,SA,1706907755
183,okhotsk,59.3833,143.3,-24.39,80,36,6.15,RU,1706907756
184,pathein,16.7833,94.7333,20.65,75,100,3.49,MM,1706907757
185,kokopo,-4.352,152.2633,26.09,81,94,1.49,PG,1706907758
186,san patricio,28.017,-97.5169,23.92,77,100,6.81,US,1706907759
187,saint-philippe,-21.3585,55.7679,24.77,82,72,6.63,RE,1706907759
188,le vauclin,14.5452,-60.8388,30.03,66,9,4.12,MQ,1706907479
189,kyzylorda,44.8528,65.5092,-8.04,92,91,2.27,KZ,1706907614
190,brandon,27.9378,-82.2859,23.49,57,0,5.66,US,1706907761
191,constantia,44.1833,28.65,2.61,76,84,5.1,RO,1706907762
192,acajutla,13.5928,-89.8275,28.85,57,3,3.92,SV,1706907763
193,tofol,5.3248,163.0078,28.22,81,100,7.06,FM,1706907763
194,codrington,-38.2667,141.9667,11.86,77,1,2.59,AU,1706907764
195,mandalgovi,45.7625,106.2708,-20.81,81,0,1.63,MN,1706907765
196,tsiombe,-25.3,45.4833,22.91,76,95,7.51,MG,1706907765
197,sydney mines,46.2367,-60.2177,0.63,94,100,3.09,CA,1706907766
198,emerald,-23.5333,148.1667,24.08,87,0,2.65,AU,1706907767
199,leo,11.1,-2.1,25.21,18,5,4.05,BF,1706907767
200,ust'-kut,56.7938,105.7672,-33.09,100,71,0.89,RU,1706907768
201,graaff-reinet,-32.2522,24.5308,24.4,39,100,2.44,ZA,1706907769
202,nikolayevsk-on-amure,53.1406,140.73,-23.63,93,68,2.24,RU,1706907769
203,inarajan village,13.2736,144.7484,25.78,80,10,8.83,GU,1706907770
204,colonia,50.9333,6.95,9.42,80,100,6.69,DE,1706907485
205,iskateley,67.6803,53.1512,-6.1,89,100,10.28,RU,1706907771
206,minot,48.2325,-101.2963,6.06,81,100,5.66,US,1706907772
207,weno,7.4515,151.8468,27.23,83,83,9.48,FM,1706907773
208,bandon,51.7469,-8.7425,11.77,92,100,6.65,IE,1706907774
209,labrador city,52.9463,-66.9114,-17.68,48,85,1.01,CA,1706907774
210,el tambo,1.4181,-77.3968,14.42,97,100,1.4,CO,1706907775
211,manaure,11.7751,-72.4445,26.12,82,89,8.06,CO,1706907776
212,brad,46.1333,22.7833,1.98,91,98,1.19,RO,1706907767
213,lillehammer,61.1146,10.4674,4.98,86,27,4.18,NO,1706907588
214,puerto baquerizo moreno,-0.9,-89.6,25.7,84,100,6.51,EC,1706907626
215,puerto san jose,13.9256,-90.8244,29.57,54,1,4.51,GT,1706907778
216,bahia de kino,28.8333,-111.9333,22.73,51,0,5.48,MX,1706907779
217,bambari,5.768,20.6757,26.83,21,81,1.15,CF,1706907779
218,salekhard,66.53,66.6019,-16.34,98,98,3.04,RU,1706907753
219,grenaa,56.4158,10.8783,8.12,96,100,10.57,DK,1706907781
220,shingu,33.7333,135.9833,2.35,72,2,2.62,JP,1706907782
221,qaqortoq,60.7167,-46.0333,-19.41,82,92,3.27,GL,1706907782
222,ghazni,33.5536,68.4269,-3.23,95,100,2.53,AF,1706907624
223,jamestown,42.097,-79.2353,1.12,95,100,3.6,US,1706907784
224,kristiansund,63.1115,7.732,8.36,81,75,13.89,NO,1706907784
225,cabo san lucas,22.8909,-109.9124,27.56,70,12,1.79,MX,1706907785
226,avallon,47.4833,3.9,5.38,90,87,1.79,FR,1706907611
227,alofi,-19.0595,-169.9187,26.98,82,100,7.44,NU,1706907787
228,parry sound,45.3501,-80.033,-2.09,81,29,3.34,CA,1706907677
229,lospalos,-8.5186,127.0025,22.93,94,51,2.44,TL,1706907788
230,bull savanna,17.8868,-77.5902,24.82,64,15,2.52,JM,1706907789
231,fort bragg,35.139,-79.006,19.39,47,0,4.63,US,1706907790
232,basco,20.4487,121.9702,23.72,85,91,8.68,PH,1706907790
233,swakopmund,-22.6833,14.5333,18.88,90,97,0.45,NA,1706907791
234,machico,32.7,-16.7667,18.73,79,40,3.6,PT,1706907792
235,burang,30.25,81.1667,-11.46,73,4,0.78,CN,1706907792
236,taiyuan,37.8694,112.5603,-3.08,74,20,4.0,CN,1706907793
237,fale old settlement,-9.3852,-171.2468,28.54,74,100,4.92,TK,1706907794
238,mengcheng chengguanzhen,33.2661,116.566,-2.35,95,100,4.53,CN,1706907710
